"","Car.Park","Weekdays..before.5.6pm","Weekdays..after.5.6pm","Saturdays","Sundays.Public.Holidays","FirstHourPrice","SubHalfHourPrice","FirstHourPrice2","SubHalfHourPrice2","EntryPrice2","FirstHourPrice3","SubHalfHourPrice3","EntryPrice3","FirstHourPrice4","SubHalfHourPrice4","EntryPrice4"
"316","Pan Pacific Orchard","7am-5pm: $5 for 1st hr; $1.50 for sub. 30 mins","Aft 5pm: $5.50 per entry","Same as weekdays","$5.50 per entry",5,1.5,NA,NA,5.5,NA,NA,NA,NA,NA,5.5
"317","Pan Pacific Serviced Suites Orchard","$4.28 per hr, $2.14 per sub 30 mins","$4.28 per hr, $2.14 per sub 30 mins","Same as weekdays","Same as weekdays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Paragon Shopping Centre","3am-4.59pm: $2.90 for 1st hr; $1.50 for sub. 30 mins. Peak Hr Surcharge of $2 from 11am to 3pm.","5pm-2.59am: $4.50 per entry.","Same as weekdays","3am-4.59pm: $2.90 for 1st hr; $1.50 for sub. 30 mins. 5pm-2.59am: $4.50 per entry.",2.9,1.5,NA,NA,4.5,NA,NA,NA,2.9,1.5,4.5
"319","Penang Road Off-Street","7am to 5pm $1.20 per 30 mins (Per Minute Charging)","5pm to 10.30pm $0.70 per 30 mins (Per Minute Charging)","Same as weekdays","7am to 10.30pm $0.70 per 30 mins (Per Minute Charging",1.2,NA,0.7,NA,NA,NA,NA,NA,0.7,NA,NA
"320","Plaza Singapura","12am-5.59pm: $1.95 for 1st hr; $0.55 for sub. 15mins.","6pm-11.59pm: $3.25 per entry.","12am-2.59am: $0.55 every 15 mins. 3am-5.59pm: $3.25 for 1st 2hr; $0.55 for every sub. 15mins. 6pm-11.59pm: $3.25 per entry.","Same as Saturday",1.95,0.55,NA,NA,3.25,NA,0.55,3.25,NA,NA,NA
"321","Pullman Singapore Orchard","6am-5.59pm: $2.30 for 1st hr; $1.60 per 30 min thereafter.","6pm-10.59pm:$2.50 for 1st hr; $1.90 per 30 min thereafter.  11pm-5.59am: $5.00 per entry.","6am-10.59pm:$2.50 for 1st hr; $1.90 per 30 min thereafter.  11pm-5.59am: $5.00 per entry.","Same as Saturday",2.3,1.6,2.5,NA,5,2.5,NA,5,NA,NA,NA
"322","Regent Hotel","Basement Parking: 7am-6pm: $5 for 1st hr; $2.50 for sub. 30 mins. Cuscaden Parking: $7 for 1st hr; $3.50 for sub. 30 mins.","Basement Parking: 6pm to 6.59am: $6 per entry. Cuscaden Parking: $7 for 1st hr; $3.50 for sub. 30 mins.","Same as weekdays","Same as weekdays",5,2.5,3.5,NA,6,NA,NA,NA,NA,NA,NA
"323","Royal Plaza On Scotts","8am-6pm: $4 for 1st hr; $1.50 for sub. 30 mins","Aft 6pm: $5.50 per entry","Same as weekdays","$5.50 per entry",4,1.5,NA,NA,5.5,NA,NA,NA,NA,NA,5.5
"324","Scape","7am-4.59pm: $2.05 per hr","5pm-6.59am: $5.15 for 1st 3hr, $2.05 for next sub hr","7am-7am : $2.05 per hr","7am-4.59pm: $2.05 per hr, 5pm-6.59am: $5.15 for 1st 3hr, $2.05 for next sub hr",2.05,NA,5.15,2.05,NA,2.05,NA,NA,NA,2.05,NA
"325","Scotts Square","8am-5.29pm : $3.00 for 1st hr,  $1.50 for every subsequent half hour or part thereof.","5.30pm-7.59am : $4.50 per entry","Same as weekdays","Same as weekdays",3,1.5,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"326","Shangri-la Hotel","7am-5pm: $6 for 1st hr; $2 for sub. 30 mins","Aft 5pm: $8 per entry","Same as weekdays","Same as weekdays",6,2,NA,NA,8,NA,NA,NA,NA,NA,NA
"327","Shaw Centre","3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30 mins","6.01pm-3.01am: $4 per entry","Same as weekdays","Same as weekdays",2,1.5,NA,NA,4,NA,NA,NA,NA,NA,NA
"328","Shaw House","3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30 mins","6.01pm-3.01am: $4 per entry","Same as weekdays","Same as weekdays",2,1.5,NA,NA,4,NA,NA,NA,NA,NA,NA
"329","Sheraton Towers Singapore","7am-6pm:$4 for 1st hr, $2 for next sub 30min.","Aft 6pm: $6 per entry","Same as weekdays","$6 per entry",4,2,NA,NA,6,NA,NA,NA,NA,NA,6
"330","Singapore Marriott Tang Plaza Hotel","$3.00 for 1st hr, $0.05 per min up to a maximum charge of $18.00.","6pm-6am the following day: $6 per entry","Same as weekdays","Same as weekdays",3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"331","Singapore Shopping Centre","8am-8pm: $2.50 for 1st hr; $1.25 for sub. 30 mins","Aft 8pm: $3 per entry","Same as weekdays","Same as weekdays",2.5,1.25,NA,NA,3,NA,NA,NA,NA,NA,NA
"332","Tang Plaza","$3.00 for 1st hr, $0.05 per min up to a maximum charge of $18.00.","6pm-6am the following day: $6 per entry","Same as weekdays","Same as weekdays",3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"333","Tanglin Mall","6am-5pm: $2.40 for 1st hr; $1.20 for sub. 30 mins","Aft 6pm: $3.60 per entry","Charges same as wkdays, but $3.50 per entry after 1pm","$3.50 per entry",2.4,1.2,NA,NA,3.6,NA,NA,3.5,NA,NA,3.5
"334","Tanglin Shopping Centre","8am-5.59pm: $3.50 for 1st hr; $1.75 for sub. 30 mins","Aft 6pm: $3.60 per entry","Same as weekdays","$3.60 per entry",3.5,1.75,NA,NA,3.6,NA,NA,NA,NA,NA,3.6
"335","The Atrium @ Orchard","Mon-Thurs: 12am-5.59pm: $1.60 for 1st hr; $0.50 for sub. 15mins; Fri & Eve of PH: $1.60 for 1st hr; $0.50 for sub. 15mins","Mon-Thu: 6pm-11.59pm: $3 per entry; Fri & Eve of PH: 6pm-2.59am (the next day): $3 per entry","3am-5.59pm: $3 for 1st 2hrs; $0.50 for sub. 15mins; Aft 6pm: $3 per entry","3am-5.59pm: $3 for 1st 2hrs; $0.50 for sub. 15mins. 6pm-11.59pm: $3 per entry",1.6,0.5,NA,NA,3,3,0.5,3,3,0.5,3
"336","The Cathay","8am-9:59am: $1.40 per 30 mins; 10am-5:59pm: $1.40 per hr","6pm-7.59am: $3 per entry","8.00am-5.59pm: $1.40 per hour; 6pm-7.59am: $3 per entry","Same as Saturday",NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA
"337","The Centrepoint","6am-5.59am: $2.80 for 1st hr or part thereof; $1.20 for sub. 30 mins or part thereof.","6am-5.59am: $2.80 for 1st hr or part thereof; $1.20 for sub. 30 mins or part thereof.","6am-5.59apm: $3 for 1st hr or part thereof; $1.20 for sub. 30 mins or part thereof.","Same as Saturday",2.8,1.2,2.8,1.2,NA,3,1.2,NA,NA,NA,NA
"338","The Heeren","8am-11pm: $1.61 per 30 mins","8am-11pm: $1.61 per 30 mins","8am-11pm: $5.35 for 1st 3hr, $1.61 for next sub  30 mins","Same as Saturday",1.61,NA,1.61,NA,NA,5.35,1.61,NA,NA,NA,NA
"339","TripleOne Somerset","7am-5.59pm: $1.50 per 30 mins (charges are before GST)","6pm-11.59am: $2.30 per entry; 12am-6.59am:$0.50 sub 15 mins.","7am-5.59pm: $2 for 1st hr; $0.50 sub 15 mins. 6pm-11.59am: $2.30 per entry; 12am-6.59am:$0.50 sub 15 mins.","Same as Saturday",1.5,NA,NA,NA,2.3,2,NA,2.3,NA,NA,NA
"340","Visioncrest Commercial","7am-5.59pm: 1st hr: $2.50 (Price)+ $0.18 (GST) = $2.68;    Sub. every 30 mins: $1.25 (Price)+$ 0.09 (GST) = $1.34.","6pm-6.59am: Per entry: $3.00 (Price)+$0.21 (GST) = $3.21","7am-5.59pm: 1st hr: $2.50 (Price)+$0.18 (GST) = $2.68. Sub. every 30 mins: $1.25 (Price)+$ 0.09 (GST) = $1.34. 6pm-6.59am: Per entry: $3.00 (Price)+$0.21 (GST) = $3.21.","7am-7am the next day: Per entry: $3.00 (Price)+$0.21 (GST) = $3.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Wheelock Place","8am-5.29pm: $3 for 1st hr; $1.50 for sub. 30 mins.","5.30pm-7.59am next day:  $4.50 per entry","Same as weekdays","Same as weekdays",3,1.5,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"342","Winsland House","7am-7pm: $2.50 for 1st hr; $1.20 for sub. 30 mins","7pm-11pm: $3.50 per entry. Aft 11pm: $3.50 per entry","Same as weekdays","7am-11pm: $4.50 per entry. Aft 11pm: $3.50 per entry",2.5,1.2,NA,NA,3.5,NA,NA,NA,NA,NA,4.5
"343","Wisma Atria","$2.50 for 1st hr, $1.20 for sub. 30 mins (Lunch hr surcharge of additional $1.07 between 12pm-2pm daily)","Aft 5pm: $3.50 per entry","$2.40 for 1st hr, $1.50 for sub. 30 mins, aft 5pm-7am: $3.50 per entry.","Same as Saturday",2.5,1.2,NA,NA,3.5,2.4,1.5,3.5,NA,NA,NA
"344","York Hotel","8.01am-6pm: $3 for 1st hr; $1.50 for sub. 30 mins","Aft 6pm: $4 per entry","Same as weekdays","$4 per entry",3,1.5,NA,NA,4,NA,NA,NA,NA,NA,4
"345","Yotel Singapore (shared carpark with International Building)","7am-6pm: $3 for 1st hr; $1.50 for sub.  30 mins or part thereof.","Aft 6pm: $4 per entry","Same as weekdays","Same as weekdays",3,1.5,NA,NA,4,NA,NA,NA,NA,NA,NA
"346","22 Bideford Rd","7am-4.59pm: $3 for 1st hr; $1.50 for sub. 30mins. 11am-3pm:Peak hour surcharge $1.00 (per entry including hourly rate)","5pm to 6.59am: $4.50 per entry.","Same as weekdays","Same as weekdays",3,1.5,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"347","313@Somerset","7am-10.59am: $2.57 for 1st hr, $1.28 for sub. 30 mins; 11am-10.59pm: $3 for 1st hr, $1.28 for sub. 30 mins.","11pm-6.59am: $2.57 for 1st hr, $1.28 for sub. 30 mins.","Same as weekdays","Same as weekdays",2.57,1.28,2.57,1.28,NA,NA,NA,NA,NA,NA,NA
"348","50 Scotts Road, Singapore 228242","7am-10.59am per 2pm-4.59pm: $2.50 for 1st hr or part thereof, $1.20 for sub 30 mins; 11am-1.59pm: $3.00 for 1st hr or part thereof, $1.50 for sub 30 mins","5pm-7am: $3.50 per entry","$3.50 per entry","$3.50 per entry",2.5,1.2,NA,NA,3.5,NA,NA,3.5,NA,NA,3.5
"349","51 Cuppage Road (Formerly Starhub Centre)","$2.80 for 1st hr or part thereof; $1.20 for sub. 30 mins or part thereof","$2.80 for 1st hr or part thereof; $1.20 for sub. 30 mins or part thereof","$2.80 for 1st hr or part thereof; $1.20 for sub. 30 mins or part thereof","$2.80 for 1st hr or part thereof; $1.20 for sub. 30 mins or part thereof",2.8,1.2,2.8,1.2,NA,2.8,1.2,NA,2.8,1.2,NA
"350","Angullia Park Off-Street","$1.30 per 30 mins (Per Minute Charging) 7am to 11am $1.50 per 30 mins (Per Minute Charging)11am to 5pm","$0.80 per 30 mins (Per Minute Charging)","Same as weekdays","7am to 11am  : $0.70 per 30 min 11am to 10.30pm $0.80 per 30 mins (Per Minute Charging)",NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA
"351","Cathay Cineleisure Orchard","7am-4.59pm: $2.40 for 1st hr; $1.40 for sub. 30 mins","5pm-6.59am: 0.04 per min","7am-10.59am: $4.80 per entry. 11am-7.59pm: $2.50 per hr. 8pm-6.59am: $0.05 per min.","Same as Saturday",2.4,1.4,NA,NA,NA,NA,NA,4.8,NA,NA,NA
"352","Claymore Connect","7am-6pm: $3.50 for 1st hr; $1.50 for sub  30 mins","Aft 6pm: $5.50 per entry","Same as weekdays","$5.50 per entry",3.5,1.5,NA,NA,5.5,NA,NA,NA,NA,NA,5.5
"353","ComCentre (Exeter Rd)","7am-6pm: $3 for 1st hr; $1.50 for sub. 30 mins.","6pm-11pm: $3.50 per entry; 11pm-7am: $15 per entry.","7am-1pm: $3 for 1st hr; $1.50 for sub. 30 mins. 1pm-11pm: $3 for 1st 2 hr; $1.00 for sub. 30 mins. 11pm-7am: $15 per entry.","Same as Saturday",3,1.5,NA,NA,3.5,3,1.5,15,NA,NA,NA
"354","Concorde Hotel","7am-6pm: $2.14 for 1st hr; $1.39 for sub. 30 mins","Aft 6pm: $3.75 per entry","Same as weekdays","$3.75 per entry",2.14,1.39,NA,NA,3.75,NA,NA,NA,NA,NA,3.75
"355","Delfi Orchard","8am-6pm : $3.64 for 1st hr, $2.35 for next sub 30mins","6pm-11pm: $5.35 per entry","Same as weekdays","8am to 11pm: $5.35 per entry",3.64,2.35,NA,NA,5.35,NA,NA,NA,NA,NA,5.35
"356","Elizabeth Hotel","7am-6pm: $5 for 1st hr; $3.50 for sub. 30 mins","Aft 6pm: $6 per entry","Same as weekdays","$6 per entry",5,3.5,NA,NA,6,NA,NA,NA,NA,NA,6
"357","Far East Plaza","8am-5pm: $1.80 for 1st hr;  $1.50 for sub. 30 mins or part thereof","Aft 5pm: $3.50 per entry","Same as weekdays","Same as weekdays",1.8,1.5,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"358","Far East Shopping Centre","$3 for 1st hr; $1.50 for sub. 30 mins or part thereof.","6pm-12am: $3.50 per entry. 12am-8am: $5 per entry.","Same as weekdays","Same as weekdays",3,1.5,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"359","Forum The Shopping Mall","6am-5pm: $2.60 for 1st hr; $1.30 for sub. 30 mins or part thereof.","Aft 5pm: $3.50 per entry.","6am-5pm: $2.80 for 1st hr; $1.50 for sub. 30 mins or part thereof, Aft 5pm: $3.50 per entry.","Same as Saturday",2.6,1.3,NA,NA,3.5,2.8,1.5,3.5,NA,NA,NA
"360","Four Seasons Hotel","6am-6pm: $6 for 1st hr; $3 for sub. 30 mins","Aft 6pm: $6 per entry","Same as weekdays","Same as weekdays",6,3,NA,NA,6,NA,NA,NA,NA,NA,NA
"361","Goodwood Park Hotel","8am to 6pm: $5.35 for 1st hr, $2.50 for sub. 30 mins","6pm-8am: $5.35 per entry","Same as weekdays","8am-7.59am: $6.42 per entry",5.35,2.5,NA,NA,5.35,NA,NA,NA,NA,NA,6.42
"362","Grand Hyatt Singapore","4am-5.59pm: $4 for 1st hr; $2 for sub. 30 mins","6pm-3.59am: $6 per entry","Same as weekdays","Same as weekdays",4,2,NA,NA,6,NA,NA,NA,NA,NA,NA
"363","Grange Road Off-Street","$1.30 per 30 mins (Per Minute Charging) 7am to 11am $1.50 per 30 mins (Per Minute Charging)11am to 5pm","$0.80 per 30 mins (Per Minute Charging)","Same as weekdays","7am to 11am  : $0.70 per 30 min 11am to 10.30pm $0.80 per 30 mins (Per Minute Charging)",NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA
"364","Hilton Singapore Orchard","6am-6pm: $3.80 for 1st hr, $2.50 for sub. 30 mins.","6pm-6am per entry: $7.00","Same as weekdays","Same as weekdays",3.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Holiday Inn Express Singapore","$3.00 per 30 mins.","$3.00 per 30 mins.","Same as weekdays","Same as weekdays",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"366","Holiday Inn Singapore Orchard City Centre","12am-2.59pm: $4 per hr;  3pm-11.59pm:  $1.20 per hr. Capped at $13.90 per day","3pm-11.59pm:  $1.20 per hr. Capped at $13.90 per day","12am-2.59pm: $4 per hr;  3pm-11.59pm:  $1.20 per hr. Capped at $4.90 per day","Same as Saturday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","International Building","7am-6pm: $3 for 1st hr; $1.50 for sub.  30 mins or part thereof.","Aft 6pm: $4 per entry","Same as weekdays","Same as weekdays",3,1.5,NA,NA,4,NA,NA,NA,NA,NA,NA
"368","ION Orchard","Mon-Thu: 8am-4.59pm: $2.70 for 1st hr; $1.30 for sub. 30 mins  or part thereof.","Mon-Thu: 5pm-11.59pm: $3.02 per entry. 12am-7.59am $1.08 per hr or part thereof.","Fri per Sat-Sun per PH: 8am-5.59pm: $2.60 for 1st hr; $1.89 for sub. 30mins or part thereof. 6-11.59pm: $3.78 per entry. 12am-7.59am $1.08 per hour or part thereof.","Same as Saturday",2.7,1.3,NA,NA,3.02,2.6,1.89,3.78,NA,NA,NA
"369","Liat Towers","6.30am-5.59pm: $1.50 per 30min","6pm-10.59pm: $0.90 per 30min, 11pm to 6.29am the following day: $1.10 per 30min, capped at $7.20","Same as weekdays","6.30am-10.59pm: $1.10 per 30min, 11pm to 6.29am the following day: $0.90 per 30min, capped at $7.20",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Lucky Plaza","7am-4.59pm: $1.93 for 1st hr; $1.28 for sub. 30 mins","Aft 5pm: $3.38 per entry","Same as weekdays","Sun: 7am-9.59pm: $1.93 for 1st hr; $1.28 for sub. 30 mins; 10pm-6.59am: $3.38 per entry. PH: $4 per entry (Does not applies if PH falls on Sun)",1.93,1.28,NA,NA,3.38,NA,NA,NA,1.93,1.28,3.38
"371","Mandarin Gallery","6am-6pm: $3.60 for 1st hr, $0.06 for next sub min","6pm-6am : $3.60 for 1st hr, $0.04 per min","Same as weekdays","Same as weekdays",3.6,0.06,3.6,0.04,NA,NA,NA,NA,NA,NA,NA
"372","Mount Elizabeth Hospital","6.30am-8pm:  $2.70 per 30 mins. 8am-11am:  $3.50 per 30 mins. 11am-6.30pm: $3.20 per 30 mins.","6.30am-6.30am (next morning): $5 per entry.","Same as weekdays","Same as weekdays",NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"373","Ngee Ann City","12.01am-12pm, 2.01pm-5pm: $1.28 every 30 mins or part thereof , 12.01pm-2pm: $1.82 every 30 mins or part thereof","5.01pm-7pm: $1.82 every 30 mins or part thereof; Aft 7pm: $4.28 per entry","12.01am-12pm, 2.01pm-5pm: $2.57 for 1st hr; $1.61 every sub 30 mins or part thereof, 12.01pm-2pm, 5.01pm-7pm: $3.64 for 1st hr; $2.14 every sub 30 mins or part thereof, Aft 7pm: $4.28 per entry","Same as Saturday",NA,NA,NA,NA,4.28,2.57,NA,4.28,NA,NA,NA
"374","OG Orchard Point","06:00 to 22:59: $2.40 for 1st one hr, $1.20 per 30  min thereafter","23:00 to 05:59: $6 for 1st one hr, $3 per 30  min thereafter","Same as weekdays","Same as weekdays",2.4,1.2,6,3,NA,NA,NA,NA,NA,NA,NA
"375","Orchard Building","6.30am-6pm: $1.30 per 30min","6pm-11pm: $1.10 per 30min, 11pm-6.30am: $0.90 per 30min, capped at maximum $7.20 for 4hrs","Same as weekdays","6pm-11pm: $1.10 per 30min, 11pm-6.30am : $0.90 per 30min, capped at maximum $7.20 for 4hrs",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Orchard Central","12am-5.59pm: $3.13 for 1st 30 mins or part thereof, $1.51 for every sub 30 min or part thereof.","6pm-11.59pm: $5.08 for 1st 2 30 mins or part thereof, $1.84 for every sub 30 min or part thereof.","12am-11.59pm: $5.08 for 1st 2 30 mins or part thereof, $1.84 for every sub 30 min or part thereof.","Same as Saturday",3.13,1.51,5.08,1.84,NA,5.08,1.84,NA,NA,NA,NA
"377","Orchard Grand Court Hotel","7am-5pm: $2.50 per hr","Aft 5pm: $3 per entry","Same as weekdays","$4.00 per entry from 7am to 7am the following day",2.5,NA,NA,NA,3,NA,NA,NA,NA,NA,4
"378","Orchard Hotel","7am-6pm: $3.50 for 1st hr; $1.50 for  sub. 30 mins","Aft 6pm: $5.50 per entry","Same as weekdays","$5.50 per entry",3.5,1.5,NA,NA,5.5,NA,NA,NA,NA,NA,5.5
"379","Orchard Plaza","7am-5pm: $1.39 for 30 mins","Aft 5pm: $3.85 per entry for 1st 3 hrs; $1.39 for sub. 30 mins","Same as weekdays","Same as weekdays",1.39,NA,1.39,NA,3.85,NA,NA,NA,NA,NA,NA
"380","Orchard Rendezvous Hotel  (Formerly known as Orchard Parade Hotel)","7am-6pm: $5 for 1st hr, $1.50 for next subsequent 30min","6pm to 7am the following day: $5 per entry","Same as weekdays","Same as weekdays",5,1.5,NA,NA,5,NA,NA,NA,NA,NA,NA
"381","Orchard Towers","12am-11.59pm: $1.50 per hr. Daily capped at $6.","12am-11.59pm: $1.50 per hr. Daily capped at $6.","Same as weekdays","Same as weekdays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","orchardgateway","12am-5.59pm: $3.21 for 1st 130 minss or part thereof; $1.61 for sub. 30 mins or part thereof.","6pm-11.59pm: $5.14 for 1st 230 minss or part thereof; $1.93 for sub. 30 mins or part thereof.","$5.14 for 1st 230 minss or part thereof; $1.93 for sub. 30 mins or part thereof.","Same as Saturday",3.21,1.61,5.14,1.93,NA,5.14,1.93,NA,NA,NA,NA
"383","Pacific Plaza","8am-5.59pm: $1.62 for 1st hr; $1.62 for sub. 30min.","6pm-7.59am: $3.24 for 1st 2hrs; $1.08 for sub. 30 min.","Same as weekdays","8am-7.59am:  $3.24 for 1st 2hrs; $1.08 for sub. 30 min.",1.62,1.62,3.24,1.08,NA,NA,NA,NA,3.24,1.08,NA
"384","Palais Renaissance","7am-5pm: $3.85 for 1st hr or part thereof, $1.95 for sub. 30 mins or part thereof.","5pm-1am: $4.60 per entry;  1am-7am: $1.80 per hr or part thereof.","Same as weekdays","7am-1am: $4.60 per 4hr,  1am-7am: $1.80 per hr or part thereof.",3.85,1.95,NA,NA,4.6,NA,NA,NA,NA,NA,NA
"385","Pan Pacific Orchard","7am-5pm: $5 for 1st hr; $1.50 for sub. 30 mins","Aft 5pm: $5.50 per entry","Same as weekdays","$5.50 per entry",5,1.5,NA,NA,5.5,NA,NA,NA,NA,NA,5.5
"386","Pan Pacific Serviced Suites Orchard","$4.28 per hr, $2.14 per sub 30 mins","$4.28 per hr, $2.14 per sub 30 mins","Same as weekdays","Same as weekdays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Paragon Shopping Centre","3am-4.59pm: $2.90 for 1st hr; $1.50 for sub. 30 mins. Peak Hr Surcharge of $2 from 11am to 3pm.","5pm-2.59am: $4.50 per entry.","Same as weekdays","3am-4.59pm: $2.90 for 1st hr; $1.50 for sub. 30 mins. 5pm-2.59am: $4.50 per entry.",2.9,1.5,NA,NA,4.5,NA,NA,NA,2.9,1.5,4.5
"388","Penang Road Off-Street","7am to 5pm $1.20 per 30 mins (Per Minute Charging)","5pm to 10.30pm $0.70 per 30 mins (Per Minute Charging)","Same as weekdays","7am to 10.30pm $0.70 per 30 mins (Per Minute Charging",1.2,NA,0.7,NA,NA,NA,NA,NA,0.7,NA,NA
"389","Plaza Singapura","12am-5.59pm: $1.95 for 1st hr; $0.55 for sub. 15mins.","6pm-11.59pm: $3.25 per entry.","12am-2.59am: $0.55 every 15 mins. 3am-5.59pm: $3.25 for 1st 2hr; $0.55 for every sub. 15mins. 6pm-11.59pm: $3.25 per entry.","Same as Saturday",1.95,0.55,NA,NA,3.25,NA,0.55,3.25,NA,NA,NA
"390","Pullman Singapore Orchard","6am-5.59pm: $2.30 for 1st hr; $1.60 per 30 min thereafter.","6pm-10.59pm:$2.50 for 1st hr; $1.90 per 30 min thereafter.  11pm-5.59am: $5.00 per entry.","6am-10.59pm:$2.50 for 1st hr; $1.90 per 30 min thereafter.  11pm-5.59am: $5.00 per entry.","Same as Saturday",2.3,1.6,2.5,NA,5,2.5,NA,5,NA,NA,NA
"391","Regent Hotel","Basement Parking: 7am-6pm: $5 for 1st hr; $2.50 for sub. 30 mins. Cuscaden Parking: $7 for 1st hr; $3.50 for sub. 30 mins.","Basement Parking: 6pm to 6.59am: $6 per entry. Cuscaden Parking: $7 for 1st hr; $3.50 for sub. 30 mins.","Same as weekdays","Same as weekdays",5,2.5,3.5,NA,6,NA,NA,NA,NA,NA,NA
"392","Royal Plaza On Scotts","8am-6pm: $4 for 1st hr; $1.50 for sub. 30 mins","Aft 6pm: $5.50 per entry","Same as weekdays","$5.50 per entry",4,1.5,NA,NA,5.5,NA,NA,NA,NA,NA,5.5
"393","Scape","7am-4.59pm: $2.05 per hr","5pm-6.59am: $5.15 for 1st 3hr, $2.05 for next sub hr","7am-7am : $2.05 per hr","7am-4.59pm: $2.05 per hr, 5pm-6.59am: $5.15 for 1st 3hr, $2.05 for next sub hr",2.05,NA,5.15,2.05,NA,2.05,NA,NA,NA,2.05,NA
"394","Scotts Square","8am-5.29pm : $3.00 for 1st hr,  $1.50 for every subsequent half hour or part thereof.","5.30pm-7.59am : $4.50 per entry","Same as weekdays","Same as weekdays",3,1.5,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"395","Shangri-la Hotel","7am-5pm: $6 for 1st hr; $2 for sub. 30 mins","Aft 5pm: $8 per entry","Same as weekdays","Same as weekdays",6,2,NA,NA,8,NA,NA,NA,NA,NA,NA
"396","Shaw Centre","3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30 mins","6.01pm-3.01am: $4 per entry","Same as weekdays","Same as weekdays",2,1.5,NA,NA,4,NA,NA,NA,NA,NA,NA
"397","Shaw House","3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30 mins","6.01pm-3.01am: $4 per entry","Same as weekdays","Same as weekdays",2,1.5,NA,NA,4,NA,NA,NA,NA,NA,NA
"398","Sheraton Towers Singapore","7am-6pm:$4 for 1st hr, $2 for next sub 30min.","Aft 6pm: $6 per entry","Same as weekdays","$6 per entry",4,2,NA,NA,6,NA,NA,NA,NA,NA,6
"399","Singapore Marriott Tang Plaza Hotel","$3.00 for 1st hr, $0.05 per min up to a maximum charge of $18.00.","6pm-6am the following day: $6 per entry","Same as weekdays","Same as weekdays",3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"400","Singapore Shopping Centre","8am-8pm: $2.50 for 1st hr; $1.25 for sub. 30 mins","Aft 8pm: $3 per entry","Same as weekdays","Same as weekdays",2.5,1.25,NA,NA,3,NA,NA,NA,NA,NA,NA
"401","Tang Plaza","$3.00 for 1st hr, $0.05 per min up to a maximum charge of $18.00.","6pm-6am the following day: $6 per entry","Same as weekdays","Same as weekdays",3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"402","Tanglin Mall","6am-5pm: $2.40 for 1st hr; $1.20 for sub. 30 mins","Aft 6pm: $3.60 per entry","Charges same as wkdays, but $3.50 per entry after 1pm","$3.50 per entry",2.4,1.2,NA,NA,3.6,NA,NA,3.5,NA,NA,3.5
"403","Tanglin Shopping Centre","8am-5.59pm: $3.50 for 1st hr; $1.75 for sub. 30 mins","Aft 6pm: $3.60 per entry","Same as weekdays","$3.60 per entry",3.5,1.75,NA,NA,3.6,NA,NA,NA,NA,NA,3.6
"404","The Atrium @ Orchard","Mon-Thurs: 12am-5.59pm: $1.60 for 1st hr; $0.50 for sub. 15mins; Fri & Eve of PH: $1.60 for 1st hr; $0.50 for sub. 15mins","Mon-Thu: 6pm-11.59pm: $3 per entry; Fri & Eve of PH: 6pm-2.59am (the next day): $3 per entry","3am-5.59pm: $3 for 1st 2hrs; $0.50 for sub. 15mins; Aft 6pm: $3 per entry","3am-5.59pm: $3 for 1st 2hrs; $0.50 for sub. 15mins. 6pm-11.59pm: $3 per entry",1.6,0.5,NA,NA,3,3,0.5,3,3,0.5,3
"405","The Cathay","8am-9:59am: $1.40 per 30 mins; 10am-5:59pm: $1.40 per hr","6pm-7.59am: $3 per entry","8.00am-5.59pm: $1.40 per hour; 6pm-7.59am: $3 per entry","Same as Saturday",NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA
